system:index,AOD,NDVI,OSI,Risk_Level,Temp,Year,.geo
"8589,3162",724.0544959128065,0.31249172075771625,753.2991470491917,High,29.55714285714288,2020,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[77.1562997530257,28.40472928385927],[77.1652829058669,28.40472928385927],[77.1652829058669,28.413712436700465],[77.1562997530257,28.413712436700465],[77.1562997530257,28.40472928385927]]]}"
"8590,3162",727.2027027027027,0.31863256784968685,756.3345463253291,High,29.450476190476195,2020,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[77.1652829058669,28.40472928385927],[77.1742660587081,28.40472928385927],[77.1742660587081,28.413712436700465],[77.1652829058669,28.413712436700465],[77.1652829058669,28.40472928385927]]]}"
"8591,3162",725.1409214092141,0.316162109375,754.4809497760295,High,29.65619047619049,2020,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[77.1742660587081,28.40472928385927],[77.1832492115493,28.40472928385927],[77.1832492115493,28.413712436700465],[77.1742660587081,28.413712436700465],[77.1742660587081,28.40472928385927]]]}"
"8592,3162",728.9459459459459,0.19963536918869645,758.4241154548059,High,29.67780487804879,2020,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[77.1832492115493,28.40472928385927],[77.19223236439049,28.40472928385927],[77.19223236439049,28.413712436700465],[77.1832492115493,28.413712436700465],[77.1832492115493,28.40472928385927]]]}"
"8593,3162",724.7741046831956,0.2688621282870484,753.6904806501466,High,29.185238095238105,2020,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[77.19223236439049,28.40472928385927],[77.20121551723167,28.40472928385927],[77.20121551723167,28.413712436700465],[77.19223236439049,28.413712436700465],[77.19223236439049,28.40472928385927]]]}"
"8594,3162",724.7741046831956,0.36927366883548,753.5900691095982,High,29.185238095238105,2020,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[77.20121551723167,28.40472928385927],[77.21019867007287,28.40472928385927],[77.21019867007287,28.413712436700465],[77.20121551723167,28.413712436700465],[77.20121551723167,28.40472928385927]]]}"
"8588,3163",726.8360655737705,0.37087942786903566,755.8395763898039,High,29.374390243902496,2020,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[77.14731660018451,28.413712436700465],[77.1562997530257,28.413712436700465],[77.1562997530257,28.42269558954166],[77.14731660018451,28.42269558954166],[77.14731660018451,28.413712436700465]]]}"
"8589,3163",735.5179063360881,0.3528927885933644,764.340727833209,High,29.17571428571432,2020,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[77.1562997530257,28.413712436700465],[77.1652829058669,28.413712436700465],[77.1652829058669,28.42269558954166],[77.1562997530257,28.42269558954166],[77.1562997530257,28.413712436700465]]]}"
"8590,3163",730.7209944751381,0.328575349986275,759.6976572203899,High,29.30523809523811,2020,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[77.1652829058669,28.413712436700465],[77.1742660587081,28.413712436700465],[77.1742660587081,28.42269558954166],[77.1652829058669,28.42269558954166],[77.1652829058669,28.413712436700465]]]}"
"8591,3163",729.8315217391304,0.33847880999158014,758.9982810243769,High,29.5052380952381,2020,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[77.1742660587081,28.413712436700465],[77.1832492115493,28.413712436700465],[77.1832492115493,28.42269558954166],[77.1742660587081,28.42269558954166],[77.1742660587081,28.413712436700465]]]}"
"8592,3163",730.7816711590297,0.2935323383084577,760.1809959635784,High,29.69285714285718,2020,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[77.1832492115493,28.413712436700465],[77.19223236439049,28.413712436700465],[77.19223236439049,28.42269558954166],[77.1832492115493,28.42269558954166],[77.1832492115493,28.413712436700465]]]}"
"8593,3163",727.5495978552278,0.30792105974587725,756.8980182588966,High,29.656341463414662,2020,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[77.19223236439049,28.413712436700465],[77.20121551723167,28.413712436700465],[77.20121551723167,28.42269558954166],[77.19223236439049,28.42269558954166],[77.19223236439049,28.413712436700465]]]}"
"8594,3163",726.3434065934066,0.33163059551014923,755.2822638027744,High,29.270487804878087,2020,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[77.20121551723167,28.413712436700465],[77.21019867007287,28.413712436700465],[77.21019867007287,28.42269558954166],[77.20121551723167,28.42269558954166],[77.20121551723167,28.413712436700465]]]}"
"8595,3163",708.2755681818181,0.3527635552054615,736.9084143827102,High,28.985609756097574,2020,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[77.21019867007287,28.413712436700465],[77.21918182291407,28.413712436700465],[77.21918182291407,28.42269558954166],[77.21019867007287,28.42269558954166],[77.21019867007287,28.413712436700465]]]}"
"8596,3163",694.5878962536023,0.4656707842573973,722.9883230303204,High,28.866097560975618,2020,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[77.21918182291407,28.413712436700465],[77.22816497575526,28.413712436700465],[77.22816497575526,28.42269558954166],[77.21918182291407,28.42269558954166],[77.21918182291407,28.413712436700465]]]}"
"8597,3163",701.4619883040936,0.40475242267356965,729.8648549290391,High,28.807619047619085,2020,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[77.22816497575526,28.413712436700465],[77.23714812859646,28.413712436700465],[77.23714812859646,28.42269558954166],[77.22816497575526,28.42269558954166],[77.22816497575526,28.413712436700465]]]}"
